DT	WEBCT_KODS	KOMP_KODS	USR	IP	APJ
16-SEP-2006	2DAT1021	GRAF-F	364230	13502	808
16-SEP-2006	2DAT1021	HTM-F	364230	13502	9397
16-SEP-2006	2DAT1021	GRAF-F	364230	13502	30432
16-SEP-2006	2DAT1021	GRAF-F	364230	13502	30432
16-SEP-2006	2DAT1021	GRAF-F	364230	13502	30432
16-SEP-2006	2DAT1021	GRAF-F	364230	13502	30432
16-SEP-2006	2DAT1021	GRAF-F	364230	13502	30432
16-SEP-2006	2DAT1021	HTM-F	364230	13502	287
16-SEP-2006	2DAT1021	GRAF-F	364230	13502	734
16-SEP-2006	2DAT1021	GRAF-F	364230	13502	831
16-SEP-2006	2DAT1021	GRAF-F	364230	13502	831
16-SEP-2006	2DAT1021	HTM-F	364230	13502	5793
16-SEP-2006	2DAT1021	GRAF-F	364230	13502	5793
16-SEP-2006	2DAT1021	GRAF-F	364230	13502	5793
16-SEP-2006	2DAT1021	GRAF-F	364230	13502	5793
16-SEP-2006	2DAT1021	GRAF-F	364230	13502	5793
16-SEP-2006	2DAT1021	HTM-F	364230	13502	5793
16-SEP-2006	2DAT1021	CIT_K	364230	13502	5793
16-SEP-2006	2DAT1021	B_B	366083	7144	45387
16-SEP-2006	2DAT1021	B_B	366083	7144	5908
16-SEP-2006	2DAT1021	B_B	366083	7144	14749
16-SEP-2006	2DAT1021	B_B	366083	7144	4811
16-SEP-2006	2DAT1021	B_B	366083	7144	5908
16-SEP-2006	2DAT1021	K_SAK	366083	7144	194
16-SEP-2006	2DAT1021	B_B	366083	7144	5908
16-SEP-2006	2DAT1021	B_B	366083	7144	11030
16-SEP-2006	2DAT1021	K_SAK	366083	7144	7218
16-SEP-2006	2DAT1021	B_B	366083	7144	45385
16-SEP-2006	2DAT1021	CIT_K	362777	6401	3931
16-SEP-2006	2DAT1021	CIT-F	362777	6401	60590
16-SEP-2006	2DAT1021	K_SAK	362777	6401	44929
16-SEP-2006	2DAT1021	K_SAK	362777	6401	7222
16-SEP-2006	2DAT1021	HTM-F	362777	6401	670
16-SEP-2006	2DAT1021	CIT_K	362777	6401	670
16-SEP-2006	2DAT1021	HTM-F	362777	6401	2687
16-SEP-2006	2DAT1021	HTM-F	362777	6401	2687
16-SEP-2006	2DAT1021	HTM-F	362777	6401	8455
16-SEP-2006	2DAT1021	CIT_K	362777	6401	8455
16-SEP-2006	2DAT1021	HTM-F	362777	6401	2687
16-SEP-2006	2DAT1021	HTM-F	362777	6401	8455
16-SEP-2006	2DAT1021	GRAF-F	362777	6401	8455
16-SEP-2006	2DAT1021	GRAF-F	362777	6401	8455
16-SEP-2006	2DAT1021	GRAF-F	362777	6401	8455
16-SEP-2006	2DAT1021	GRAF-F	362777	6401	8455
16-SEP-2006	2DAT1021	GRAF-F	362777	6401	8455
16-SEP-2006	2DAT1021	GRAF-F	362777	6401	8455
16-SEP-2006	2DAT1021	GRAF-F	362777	6401	8455
16-SEP-2006	2DAT1021	HTM-F	362777	6401	8455
16-SEP-2006	2DAT1021	CIT_K	362777	6401	8455
16-SEP-2006	2DAT1021	GRAF-F	362777	6401	8455
16-SEP-2006	2DAT1021	GRAF-F	362777	6401	8075
16-SEP-2006	2DAT1021	HTM-F	362777	6401	9397
16-SEP-2006	2DAT1021	CIT-F	362777	6401	8180
16-SEP-2006	2DAT1021	CIT_K	362777	6401	8180
16-SEP-2006	2DAT1021	GRAF-F	362777	6401	8180
16-SEP-2006	2DAT1021	CIT-F	362777	6401	8180
16-SEP-2006	2DAT1021	CIT_K	362777	6401	8180
16-SEP-2006	2DAT1021	GRAF-F	362777	6401	8180
16-SEP-2006	2DAT1021	K_SAK	361532	10295	44968
16-SEP-2006	2DAT1021	K_SAK	361532	10295	7222
16-SEP-2006	2DAT1021	K_SAK	361532	10295	44970
16-SEP-2006	2DAT1021	K_SAK	361532	10295	7222
16-SEP-2006	2DAT1021	K_SAK	361532	10295	44968
16-SEP-2006	2DAT1021	K_SAK	361532	10295	7222
16-SEP-2006	2DAT1021	TSK	361532	10295	637
16-SEP-2006	2DAT1021	TSK	361532	10295	2456
16-SEP-2006	2DAT1021	TSK	361532	10295	925
16-SEP-2006	2DAT1021	DB_B	361532	10295	901
16-SEP-2006	2DAT1021	PR_B	361532	10295	1107
16-SEP-2006	2DAT1021	PR_B	361532	10295	1183
16-SEP-2006	2DAT1021	PR_B	361532	10295	728
16-SEP-2006	2DAT1021	B_B	361532	10295	5908
16-SEP-2006	2DAT1021	M_B	361532	10295	5475
16-SEP-2006	2DAT1021	M_B	361532	10295	4634
16-SEP-2006	2DAT1021	M_B	361532	10295	5695
16-SEP-2006	2DAT1021	CAL	361532	10295	33087
16-SEP-2006	2DAT1021	GL_B	361532	10295	774
16-SEP-2006	2DAT1021	HTM-F	361532	10295	670
16-SEP-2006	2DAT1021	CIT_K	361532	10295	2373
16-SEP-2006	2DAT1021	HTM-F	361532	10295	2373
16-SEP-2006	2DAT1021	CIT_K	361532	10295	2373
16-SEP-2006	2DAT1021	HTM-F	361532	10295	8455
16-SEP-2006	2DAT1021	HTM-F	361532	10295	2687
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	26242
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	780
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	894
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	915
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	826
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	434
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	695
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	695
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	808
16-SEP-2006	2DAT1021	HTM-F	361532	10295	9397
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	831
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	831
16-SEP-2006	2DAT1021	HTM-F	361532	10295	5793
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	5793
16-SEP-2006	2DAT1021	HTM-F	361532	10295	5793
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	695
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	5985
16-SEP-2006	2DAT1021	GRAF-F	361532	10295	5985
16-SEP-2006	2DAT1021	HTM-F	361532	10295	5985
16-SEP-2006	2DAT1021	HTM-F	361532	10295	1791212
16-SEP-2006	2DAT1021	CIT_K	361532	10295	1791212
16-SEP-2006	2DAT1021	HTM-F	361532	10295	1791212
16-SEP-2006	2DAT1021	HTM-F	361532	10295	1791212
